0 1 2 3 4 5 6 7 8 9 10 11 12 + 13
0 1 2 3 4 5 6 7 8 9 10 11 12 + 14
0 1 2 3 4 5 6 7 8 9 10 11 12 + 15
0 1 2 3 4 5 6 7 8 9 10 11 13 + 12
0 1 2 3 4 5 6 7 8 9 10 11 13 + 14
0 1 2 3 4 5 6 7 8 9 10 11 13 + 15
0 1 2 3 4 5 6 7 8 9 10 12 13 + 11
0 1 2 3 4 5 6 7 8 9 10 12 13 + 14
0 1 2 3 4 5 6 7 8 9 10 12 13 + 15
0 1 2 3 4 5 6 7 8 9 11 12 13 + 10
0 1 2 3 4 5 6 7 8 9 11 12 13 + 14
0 1 2 3 4 5 6 7 8 9 11 12 13 + 15
0 1 2 3 4 5 6 8 9 10 11 12 13 + 7
0 1 2 3 4 5 6 8 9 10 11 12 13 + 14
0 1 2 3 4 5 6 8 9 10 11 12 13 + 15
0 1 2 4 5 6 7 8 9 10 11 12 13 + 3
0 1 2 4 5 6 7 8 9 10 11 12 13 + 14
0 1 2 4 5 6 7 8 9 10 11 12 13 + 15
0 1 2 3 4 5 6 7 8 9 10 11 14 + 12
0 1 2 3 4 5 6 7 8 9 10 11 14 + 13
0 1 2 3 4 5 6 7 8 9 10 11 14 + 15
0 1 2 3 4 5 6 7 8 9 10 12 14 + 11
0 1 2 3 4 5 6 7 8 9 10 12 14 + 13
0 1 2 3 4 5 6 7 8 9 10 12 14 + 15
0 1 2 3 4 5 6 7 8 10 11 12 14 + 9
0 1 2 3 4 5 6 7 8 10 11 12 14 + 13
0 1 2 3 4 5 6 7 8 10 11 12 14 + 15
0 1 2 3 4 5 6 7 8 9 10 13 14 + 11
0 1 2 3 4 5 6 7 8 9 10 13 14 + 12
0 1 2 3 4 5 6 7 8 9 10 13 14 + 15
0 1 2 3 4 5 6 7 9 10 11 13 14 + 8
0 1 2 3 4 5 6 7 9 10 11 13 14 + 12
0 1 2 3 4 5 6 7 9 10 11 13 14 + 15
0 1 2 3 4 5 6 7 8 9 12 13 14 + 10
0 1 2 3 4 5 6 7 8 9 12 13 14 + 11
0 1 2 3 4 5 6 7 8 9 12 13 14 + 15
0 1 2 3 4 5 6 8 9 10 12 13 14 + 7
0 1 2 3 4 5 6 8 9 10 12 13 14 + 11
0 1 2 3 4 5 6 8 9 10 12 13 14 + 15
0 1 2 4 5 6 7 8 9 10 12 13 14 + 3
0 1 2 4 5 6 7 8 9 10 12 13 14 + 11
0 1 2 4 5 6 7 8 9 10 12 13 14 + 15
0 1 2 3 4 5 8 9 10 11 12 13 14 + 6
0 1 2 3 4 5 8 9 10 11 12 13 14 + 7
0 1 2 3 4 5 8 9 10 11 12 13 14 + 15
0 1 2 4 5 6 8 9 10 11 12 13 14 + 3
0 1 2 4 5 6 8 9 10 11 12 13 14 + 7
0 1 2 4 5 6 8 9 10 11 12 13 14 + 15
0 1 4 5 6 7 8 9 10 11 12 13 14 + 2
0 1 4 5 6 7 8 9 10 11 12 13 14 + 3
0 1 4 5 6 7 8 9 10 11 12 13 14 + 15
0 1 2 3 4 5 6 7 8 9 10 11 15 + 12
0 1 2 3 4 5 6 7 8 9 10 11 15 + 13
0 1 2 3 4 5 6 7 8 9 10 11 15 + 14
0 1 2 3 4 5 6 7 8 9 11 12 15 + 10
0 1 2 3 4 5 6 7 8 9 11 12 15 + 13
0 1 2 3 4 5 6 7 8 9 11 12 15 + 14
0 1 2 3 4 5 6 7 8 10 11 12 15 + 9
0 1 2 3 4 5 6 7 8 10 11 12 15 + 13
0 1 2 3 4 5 6 7 8 10 11 12 15 + 14
0 1 2 3 4 5 6 7 8 9 11 13 15 + 10
0 1 2 3 4 5 6 7 8 9 11 13 15 + 12
0 1 2 3 4 5 6 7 8 9 11 13 15 + 14
0 1 2 3 4 5 6 7 9 10 11 13 15 + 8
0 1 2 3 4 5 6 7 9 10 11 13 15 + 12
0 1 2 3 4 5 6 7 9 10 11 13 15 + 14
0 1 2 3 4 5 7 8 9 11 12 13 15 + 6
0 1 2 3 4 5 7 8 9 11 12 13 15 + 10
0 1 2 3 4 5 7 8 9 11 12 13 15 + 14
0 1 2 3 4 5 6 7 8 10 11 14 15 + 9
0 1 2 3 4 5 6 7 8 10 11 14 15 + 12
0 1 2 3 4 5 6 7 8 10 11 14 15 + 13
0 1 2 3 4 5 6 7 9 10 11 14 15 + 8
0 1 2 3 4 5 6 7 9 10 11 14 15 + 12
0 1 2 3 4 5 6 7 9 10 11 14 15 + 13
0 1 2 3 5 6 7 8 9 10 11 14 15 + 4
0 1 2 3 5 6 7 8 9 10 11 14 15 + 12
0 1 2 3 5 6 7 8 9 10 11 14 15 + 13
1 2 3 4 5 6 7 8 9 10 11 14 15 + 0
1 2 3 4 5 6 7 8 9 10 11 14 15 + 12
1 2 3 4 5 6 7 8 9 10 11 14 15 + 13
0 1 2 3 4 6 7 8 10 11 12 14 15 + 5
0 1 2 3 4 6 7 8 10 11 12 14 15 + 9
0 1 2 3 4 6 7 8 10 11 12 14 15 + 13
0 1 2 3 4 5 6 7 10 11 13 14 15 + 8
0 1 2 3 4 5 6 7 10 11 13 14 15 + 9
0 1 2 3 4 5 6 7 10 11 13 14 15 + 12
0 1 2 3 5 6 7 9 10 11 13 14 15 + 4
0 1 2 3 5 6 7 9 10 11 13 14 15 + 8
0 1 2 3 5 6 7 9 10 11 13 14 15 + 12
1 2 3 4 5 6 7 9 10 11 13 14 15 + 0
1 2 3 4 5 6 7 9 10 11 13 14 15 + 8
1 2 3 4 5 6 7 9 10 11 13 14 15 + 12
0 1 2 3 6 7 8 9 10 11 13 14 15 + 4
0 1 2 3 6 7 8 9 10 11 13 14 15 + 5
0 1 2 3 6 7 8 9 10 11 13 14 15 + 12
1 2 3 5 6 7 8 9 10 11 13 14 15 + 0
1 2 3 5 6 7 8 9 10 11 13 14 15 + 4
1 2 3 5 6 7 8 9 10 11 13 14 15 + 12
2 3 4 5 6 7 8 9 10 11 13 14 15 + 0
2 3 4 5 6 7 8 9 10 11 13 14 15 + 1
2 3 4 5 6 7 8 9 10 11 13 14 15 + 12
0 1 2 3 4 5 6 7 8 12 13 14 15 + 9
0 1 2 3 4 5 6 7 8 12 13 14 15 + 10
0 1 2 3 4 5 6 7 8 12 13 14 15 + 11
0 1 2 3 4 5 6 8 9 12 13 14 15 + 7
0 1 2 3 4 5 6 8 9 12 13 14 15 + 10
0 1 2 3 4 5 6 8 9 12 13 14 15 + 11
0 1 2 4 5 6 7 8 9 12 13 14 15 + 3
0 1 2 4 5 6 7 8 9 12 13 14 15 + 10
0 1 2 4 5 6 7 8 9 12 13 14 15 + 11
0 1 2 3 4 5 8 9 10 12 13 14 15 + 6
0 1 2 3 4 5 8 9 10 12 13 14 15 + 7
